BookingReference,Created Date,Reference,Attendee Status,Attended,Event Code
B944741,19/02/2021,A1012694,Attending,,MSE21
B944748,19/02/2021,A1012701,Attending,,MSE21
B944761,19/02/2021,A1012714,Attending,,MSE21
B944775,19/02/2021,A1012728,Attending,,MSE21
B944776,19/02/2021,A1012729,Attending,,MSE21
B944782,19/02/2021,A1012735,Attending,,MSE21
B944785,19/02/2021,A1012738,Attending,,MSE21
B944812,19/02/2021,A1012766,Attending,,MSE21
B944830,19/02/2021,A1012784,Attending,,MSE21
B944865,19/02/2021,A1012819,Attending,,MSE21
B944905,19/02/2021,A1012859,Attending,,MSE21
B944954,19/02/2021,A1012908,Attending,,MSE21
B944968,19/02/2021,A1012922,Attending,,MSE21
B945007,19/02/2021,A1012961,Attending,,MSE21
B945007,19/02/2021,A1012962,Attending,,MSE21
B945070,19/02/2021,A1013025,Attending,,MSE21
